distance_m,radial_velocity_mps,launch_angle_deg,pivot_output_rotations,ball_speed_mps,wheel_rps,tof_s,robust_margin_m
1.5,-3.0,46.5,0.08327777777777778,8.0,43.44386898046487,0.598363689392066,-0.3
1.5,-2.5,53.5,0.06383333333333333,8.0,43.44386898046487,0.6641334274060652,-0.8601230629405647
1.5,-2.0,59.0,0.04855555555555555,8.0,43.44386898046487,0.7074455248123568,-1.1704807155775556
1.75,-3.0,37.5,0.10827777777777778,8.0,43.44386898046487,0.5228833594294191,-0.3
1.75,-2.5,47.5,0.0805,8.0,43.44386898046487,0.6024673632387029,-0.3
1.75,-2.0,55.0,0.05966666666666666,8.0,43.44386898046487,0.6760381023625573,-0.9484926502836271
2.0,-3.0,40.5,0.09994444444444445,8.1,43.98691734272068,0.6330539655016001,-0.3
2.0,-2.5,37.0,0.10966666666666666,8.0,43.44386898046487,0.5142599025026565,-0.3
2.0,-2.0,49.0,0.07633333333333334,8.0,43.44386898046487,0.6156740329639226,-0.3
2.0,-1.5,56.5,0.055499999999999994,8.0,43.44386898046487,0.6859896499965045,-1.0349674708771979
2.25,-3.0,38.5,0.1055,8.4,45.616062429488125,0.629562841058942,-0.3
2.25,-2.5,40.5,0.09994444444444445,8.0,43.44386898046487,0.6279219782733355,-0.3
2.25,-2.0,37.0,0.10966666666666666,8.0,43.44386898046487,0.5126354288947794,-0.3
2.25,-1.5,51.0,0.07077777777777777,8.0,43.44386898046487,0.6365708910168315,-0.3
2.25,-1.0,58.0,0.05133333333333333,8.0,43.44386898046487,0.6945829078609109,-0.6290279095666145
2.5,-3.0,40.0,0.10133333333333333,8.6,46.70215915399974,0.6967704556780429,-0.2670544771963126
2.5,-2.5,42.5,0.0943888888888889,8.2,44.52996570497649,0.705084530017986,-0.26470093929865324
2.5,-2.0,39.0,0.10411111111111111,8.0,43.44386898046487,0.5928149371310479,-0.3
2.5,-1.5,36.5,0.11105555555555556,8.0,43.44386898046487,0.5070114733322896,-0.3
2.5,-1.0,53.0,0.06522222222222222,8.0,43.44386898046487,0.6553904235948307,-0.3933018962350163
2.5,-0.5,60.0,0.04577777777777778,8.0,43.44386898046487,0.7142857142857141,-1.2279337859841124
2.75,-3.0,38.0,0.1068888888888889,8.9,48.33130424076717,0.6852223710141869,-0.2516219743824104
2.75,-2.5,40.0,0.10133333333333333,8.5,46.15911079174393,0.6855499930617777,-0.24351489825326755
2.75,-2.0,41.5,0.09716666666666667,8.2,44.52996570497649,0.6640207395283083,-0.201012319383034
2.75,-1.5,38.0,0.1068888888888889,8.0,43.44386898046487,0.5724293827136424,-0.3
2.75,-1.0,36.5,0.11105555555555556,8.0,43.44386898046487,0.5063659512661656,-0.3
2.75,-0.5,32.5,0.12216666666666667,8.0,43.44386898046487,0.4402020304399238,-0.4475959274505794
3.0,-3.0,36.5,0.11105555555555556,9.2,49.9604493275346,0.6825188311915386,-0.23860562845959588
3.0,-2.5,38.5,0.1055,8.8,47.788255878511364,0.6838461305799892,-0.23605189891718248
3.0,-2.0,39.5,0.10272222222222223,8.5,46.15911079174393,0.6580666193988884,-0.1888864402421626
3.0,-1.5,42.0,0.09577777777777778,8.1,43.98691734272068,0.6637941951794286,-0.19067591946124574
3.0,-1.0,38.0,0.1068888888888889,8.0,43.44386898046487,0.5656016858852319,-0.3
3.0,-0.5,36.5,0.11105555555555556,8.0,43.44386898046487,0.5058292705186452,-0.3
3.0,0.0,33.0,0.12077777777777778,8.0,43.44386898046487,0.4471362348134803,-0.4235573067090417
3.25,-3.0,34.0,0.11800000000000001,9.6,52.132642776557844,0.655405694869548,-0.23079401859793913
3.25,-2.5,36.0,0.11244444444444444,9.2,49.9604493275346,0.6575012545176422,-0.19915831646026239
3.25,-2.0,38.0,0.1068888888888889,8.8,47.788255878511364,0.6586287436803926,-0.19985131239068532
3.25,-1.5,40.0,0.10133333333333333,8.4,45.616062429488125,0.6585915477372897,-0.18255154214926717
3.25,-1.0,41.5,0.09716666666666667,8.1,43.98691734272068,0.6414632355555138,-0.15927392389552453
3.25,-0.5,37.5,0.10827777777777778,8.0,43.44386898046487,0.5558570750160557,-0.3
